Frame         Time          Elec          VdW           Nonbond       Total         
467           467           -4022.87      -666.003      -4688.87      -4688.87      
468           468           -4001.87      -657.993      -4659.86      -4659.86      
469           469           -4079.43      -637.931      -4717.36      -4717.36      
470           470           -4082.35      -645.387      -4727.74      -4727.74      
471           471           -4071.98      -631.745      -4703.73      -4703.73      
472           472           -4166.75      -683.37       -4850.12      -4850.12      
473           473           -4132.65      -656.717      -4789.37      -4789.37      
474           474           -4173.23      -619.726      -4792.96      -4792.96      
475           475           -4080.73      -613.084      -4693.82      -4693.82      
476           476           -4092.34      -655.682      -4748.02      -4748.02      
477           477           -3838.74      -662.98       -4501.72      -4501.72      
478           478           -3821.21      -631.92       -4453.13      -4453.13      
479           479           -3799.17      -669.556      -4468.73      -4468.73      
480           480           -3838.69      -654.008      -4492.7       -4492.7       
481           481           -3888.18      -705.639      -4593.82      -4593.82      
482           482           -3991.05      -657.765      -4648.82      -4648.82      
483           483           -3813.49      -665.116      -4478.61      -4478.61      
484           484           -3967.2       -679.987      -4647.19      -4647.19      
485           485           -4079.06      -643.582      -4722.64      -4722.64      
486           486           -3789.66      -650.77       -4440.43      -4440.43      
487           487           -3956.68      -626.867      -4583.55      -4583.55      
488           488           -3878.09      -684.962      -4563.05      -4563.05      
489           489           -3932.68      -598.676      -4531.36      -4531.36      
490           490           -3910.65      -691.033      -4601.68      -4601.68      
491           491           -3898.19      -619.346      -4517.53      -4517.53      
492           492           -3902.57      -639.737      -4542.31      -4542.31      
493           493           -3903.25      -680.134      -4583.38      -4583.38      
494           494           -4031.18      -606.931      -4638.11      -4638.11      
495           495           -4068.49      -647.056      -4715.55      -4715.55      
