"FRAME","SYSTEM","HBONDS"
841,"HBONDS",0
842,"HBONDS",0
843,"HBONDS",0
844,"HBONDS",0
845,"HBONDS",0
846,"HBONDS",0
847,"HBONDS",0
848,"HBONDS",0
849,"HBONDS",0
850,"HBONDS",0
851,"HBONDS",0
852,"HBONDS",0
853,"HBONDS",0
854,"HBONDS",0
855,"HBONDS",0
856,"HBONDS",1
857,"HBONDS",0
858,"HBONDS",0
859,"HBONDS",0
860,"HBONDS",0
861,"HBONDS",0
862,"HBONDS",0
863,"HBONDS",0
864,"HBONDS",0
865,"HBONDS",0
866,"HBONDS",0
867,"HBONDS",0
868,"HBONDS",0
869,"HBONDS",0
870,"HBONDS",0
871,"HBONDS",0
872,"HBONDS",0
873,"HBONDS",0
874,"HBONDS",0
875,"HBONDS",0
876,"HBONDS",0
877,"HBONDS",0
878,"HBONDS",0
879,"HBONDS",0
880,"HBONDS",0
881,"HBONDS",0
882,"HBONDS",0
883,"HBONDS",0
884,"HBONDS",0
885,"HBONDS",0
886,"HBONDS",0
887,"HBONDS",0
888,"HBONDS",0
889,"HBONDS",0
890,"HBONDS",0
891,"HBONDS",0
892,"HBONDS",0
893,"HBONDS",0
894,"HBONDS",0
895,"HBONDS",0
896,"HBONDS",0
897,"HBONDS",0
898,"HBONDS",1
899,"HBONDS",0
900,"HBONDS",1
901,"HBONDS",0
902,"HBONDS",1
903,"HBONDS",0
904,"HBONDS",0
905,"HBONDS",0
906,"HBONDS",0
907,"HBONDS",0
908,"HBONDS",0
909,"HBONDS",0
910,"HBONDS",1
911,"HBONDS",0
912,"HBONDS",0
913,"HBONDS",0
914,"HBONDS",0
915,"HBONDS",1
916,"HBONDS",1
917,"HBONDS",0
918,"HBONDS",0
919,"HBONDS",0
920,"HBONDS",0
921,"HBONDS",0
922,"HBONDS",0
923,"HBONDS",1
924,"HBONDS",1
925,"HBONDS",1
926,"HBONDS",0
927,"HBONDS",0
928,"HBONDS",1
929,"HBONDS",0
930,"HBONDS",0
931,"HBONDS",0
932,"HBONDS",0
933,"HBONDS",0
934,"HBONDS",1
935,"HBONDS",0
936,"HBONDS",0
937,"HBONDS",0
938,"HBONDS",0
939,"HBONDS",0
940,"HBONDS",0
941,"HBONDS",0
942,"HBONDS",0
943,"HBONDS",0
944,"HBONDS",1
945,"HBONDS",0
946,"HBONDS",0
947,"HBONDS",0
948,"HBONDS",1
949,"HBONDS",0
950,"HBONDS",0
951,"HBONDS",0
952,"HBONDS",0
953,"HBONDS",0
954,"HBONDS",0
955,"HBONDS",0
956,"HBONDS",0
957,"HBONDS",0
958,"HBONDS",0
959,"HBONDS",1
960,"HBONDS",0
961,"HBONDS",0
962,"HBONDS",0
963,"HBONDS",0
964,"HBONDS",0
965,"HBONDS",0
966,"HBONDS",0
967,"HBONDS",0
968,"HBONDS",0
969,"HBONDS",0
970,"HBONDS",0
971,"HBONDS",0
972,"HBONDS",1
973,"HBONDS",0
974,"HBONDS",0
975,"HBONDS",0
976,"HBONDS",0
977,"HBONDS",0
978,"HBONDS",0
979,"HBONDS",0
980,"HBONDS",0
981,"HBONDS",0
982,"HBONDS",1
983,"HBONDS",0
984,"HBONDS",0
985,"HBONDS",0
986,"HBONDS",0
987,"HBONDS",0
988,"HBONDS",0
989,"HBONDS",0
990,"HBONDS",0
991,"HBONDS",0
992,"HBONDS",0
993,"HBONDS",0
994,"HBONDS",0
995,"HBONDS",0
996,"HBONDS",0
997,"HBONDS",0
998,"HBONDS",0
999,"HBONDS",0
1000,"HBONDS",0
1001,"HBONDS",0
1002,"HBONDS",0
1003,"HBONDS",0
1004,"HBONDS",0
1005,"HBONDS",0
1006,"HBONDS",0
1007,"HBONDS",0
1008,"HBONDS",0
1009,"HBONDS",0
1010,"HBONDS",1
1011,"HBONDS",0
1012,"HBONDS",1
1013,"HBONDS",0
1014,"HBONDS",0
1015,"HBONDS",0
1016,"HBONDS",0
1017,"HBONDS",0
1018,"HBONDS",0
1019,"HBONDS",0
1020,"HBONDS",0
1021,"HBONDS",0
1022,"HBONDS",1
1023,"HBONDS",1
1024,"HBONDS",0
1025,"HBONDS",0
1026,"HBONDS",0
1027,"HBONDS",0
1028,"HBONDS",1
1029,"HBONDS",0
1030,"HBONDS",1
1031,"HBONDS",0
1032,"HBONDS",0
1033,"HBONDS",1
1034,"HBONDS",0
1035,"HBONDS",0
1036,"HBONDS",0
1037,"HBONDS",0
1038,"HBONDS",0
1039,"HBONDS",0
1040,"HBONDS",0
1041,"HBONDS",0
1042,"HBONDS",0
1043,"HBONDS",0
1044,"HBONDS",0
1045,"HBONDS",0
1046,"HBONDS",1
1047,"HBONDS",0
1048,"HBONDS",0
1049,"HBONDS",1
1050,"HBONDS",0
1051,"HBONDS",1
1052,"HBONDS",2
1053,"HBONDS",0
1054,"HBONDS",0
1055,"HBONDS",0
1056,"HBONDS",0
1057,"HBONDS",0
1058,"HBONDS",1
1059,"HBONDS",0
1060,"HBONDS",0
1061,"HBONDS",0
1062,"HBONDS",0
1063,"HBONDS",0
1064,"HBONDS",0
1065,"HBONDS",0
1066,"HBONDS",0
1067,"HBONDS",0
1068,"HBONDS",1
1069,"HBONDS",0
1070,"HBONDS",0
1071,"HBONDS",0
1072,"HBONDS",1
1073,"HBONDS",0
1074,"HBONDS",0
1075,"HBONDS",0
1076,"HBONDS",0
1077,"HBONDS",0
1078,"HBONDS",0
1079,"HBONDS",0
1080,"HBONDS",0
1081,"HBONDS",0
1082,"HBONDS",0
1083,"HBONDS",0
1084,"HBONDS",0
1085,"HBONDS",0
1086,"HBONDS",0
1087,"HBONDS",0
1088,"HBONDS",0
1089,"HBONDS",0
1090,"HBONDS",0
1091,"HBONDS",0
1092,"HBONDS",0
1093,"HBONDS",0
1094,"HBONDS",0
1095,"HBONDS",0
1096,"HBONDS",0
1097,"HBONDS",0
1098,"HBONDS",0
1099,"HBONDS",0
1100,"HBONDS",1
1101,"HBONDS",0
1102,"HBONDS",0
1103,"HBONDS",0
1104,"HBONDS",0
1105,"HBONDS",0
1106,"HBONDS",0
1107,"HBONDS",0
1108,"HBONDS",0
1109,"HBONDS",1
1110,"HBONDS",0
1111,"HBONDS",0
1112,"HBONDS",0
1113,"HBONDS",0
1114,"HBONDS",0
1115,"HBONDS",0
1116,"HBONDS",0
1117,"HBONDS",0
1118,"HBONDS",0
1119,"HBONDS",0
1120,"HBONDS",0
1121,"HBONDS",0
1122,"HBONDS",0
1123,"HBONDS",0
1124,"HBONDS",1
1125,"HBONDS",1
1126,"HBONDS",0
1127,"HBONDS",0
1128,"HBONDS",0
1129,"HBONDS",0
1130,"HBONDS",0
1131,"HBONDS",1
1132,"HBONDS",0
1133,"HBONDS",0
1134,"HBONDS",0
1135,"HBONDS",1
1136,"HBONDS",0
1137,"HBONDS",0
1138,"HBONDS",0
1139,"HBONDS",1
1140,"HBONDS",2
1141,"HBONDS",1
1142,"HBONDS",2
1143,"HBONDS",0
1144,"HBONDS",2
1145,"HBONDS",0
1146,"HBONDS",1
1147,"HBONDS",1
1148,"HBONDS",0
1149,"HBONDS",2
1150,"HBONDS",1
1151,"HBONDS",1
1152,"HBONDS",0
1153,"HBONDS",0
1154,"HBONDS",1
1155,"HBONDS",1
1156,"HBONDS",2
1157,"HBONDS",1
1158,"HBONDS",0
1159,"HBONDS",0
1160,"HBONDS",1
1161,"HBONDS",1
1162,"HBONDS",2
1163,"HBONDS",0
1164,"HBONDS",1
1165,"HBONDS",1
1166,"HBONDS",1
1167,"HBONDS",1
1168,"HBONDS",1
1169,"HBONDS",1
1170,"HBONDS",1
1171,"HBONDS",1
1172,"HBONDS",0
1173,"HBONDS",0
1174,"HBONDS",1
1175,"HBONDS",1
1176,"HBONDS",1
1177,"HBONDS",1
1178,"HBONDS",1
1179,"HBONDS",1
1180,"HBONDS",1
1181,"HBONDS",0
1182,"HBONDS",1
1183,"HBONDS",1
1184,"HBONDS",1
1185,"HBONDS",1
1186,"HBONDS",1
1187,"HBONDS",0
1188,"HBONDS",0
1189,"HBONDS",0
1190,"HBONDS",0
1191,"HBONDS",0
1192,"HBONDS",0
1193,"HBONDS",0
1194,"HBONDS",1
1195,"HBONDS",1
1196,"HBONDS",0
1197,"HBONDS",0
1198,"HBONDS",0
1199,"HBONDS",0
1200,"HBONDS",1
1201,"HBONDS",1
1202,"HBONDS",0
1203,"HBONDS",1
1204,"HBONDS",0
1205,"HBONDS",1
1206,"HBONDS",0
1207,"HBONDS",1
1208,"HBONDS",1
1209,"HBONDS",0
1210,"HBONDS",0
1211,"HBONDS",0
1212,"HBONDS",0
1213,"HBONDS",0
1214,"HBONDS",1
1215,"HBONDS",1
1216,"HBONDS",1
1217,"HBONDS",0
1218,"HBONDS",0
1219,"HBONDS",0
1220,"HBONDS",0
1221,"HBONDS",0
1222,"HBONDS",0
1223,"HBONDS",0
1224,"HBONDS",0
1225,"HBONDS",0
1226,"HBONDS",0
1227,"HBONDS",1
1228,"HBONDS",0
1229,"HBONDS",0
1230,"HBONDS",0
1231,"HBONDS",0
1232,"HBONDS",0
1233,"HBONDS",0
1234,"HBONDS",0
1235,"HBONDS",0
1236,"HBONDS",0
1237,"HBONDS",0
1238,"HBONDS",0
1239,"HBONDS",0
1240,"HBONDS",0
1241,"HBONDS",0
