Frame         Time          Elec          VdW           Nonbond       Total         
288           288           -3980.11      -559.583      -4539.69      -4539.69      
289           289           -3962.63      -544.593      -4507.22      -4507.22      
290           290           -3973.98      -560.218      -4534.2       -4534.2       
291           291           -4015.7       -555.367      -4571.06      -4571.06      
292           292           -4065.96      -566.107      -4632.06      -4632.06      
293           293           -4144.03      -578.094      -4722.12      -4722.12      
294           294           -4053.39      -538.556      -4591.94      -4591.94      
295           295           -3959.47      -548.403      -4507.87      -4507.87      
296           296           -3928.44      -584.804      -4513.24      -4513.24      
297           297           -4014.88      -531.989      -4546.87      -4546.87      
298           298           -4098.14      -582.062      -4680.2       -4680.2       
299           299           -4083.49      -525.532      -4609.02      -4609.02      
300           300           -3998.65      -516.026      -4514.68      -4514.68      
301           301           -3995.64      -595.809      -4591.45      -4591.45      
302           302           -4259.78      -501.149      -4760.92      -4760.92      
303           303           -4246.23      -537.208      -4783.43      -4783.43      
304           304           -4121.41      -561.556      -4682.97      -4682.97      
305           305           -4340.4       -575.16       -4915.56      -4915.56      
306           306           -4112.26      -564.027      -4676.29      -4676.29      
307           307           -4125.26      -536.132      -4661.39      -4661.39      
308           308           -4272.52      -572.185      -4844.71      -4844.71      
309           309           -4196.98      -543.723      -4740.7       -4740.7       
310           310           -4294.59      -578.835      -4873.43      -4873.43      
311           311           -4274.53      -558.242      -4832.77      -4832.77      
312           312           -4182.59      -595.885      -4778.48      -4778.48      
313           313           -4130.56      -578.12       -4708.68      -4708.68      
314           314           -4209.78      -564.681      -4774.46      -4774.46      
315           315           -4183.52      -592.958      -4776.47      -4776.47      
316           316           -4045.51      -577.09       -4622.6       -4622.6       
317           317           -4099.09      -605.477      -4704.57      -4704.57      
318           318           -4116.33      -563.018      -4679.35      -4679.35      
319           319           -4217.78      -523.52       -4741.3       -4741.3       
320           320           -4274.99      -588.957      -4863.95      -4863.95      
321           321           -4237.9       -572.448      -4810.35      -4810.35      
322           322           -4136.79      -521.357      -4658.15      -4658.15      
323           323           -4115.76      -578.648      -4694.41      -4694.41      
324           324           -4224.26      -555.909      -4780.17      -4780.17      
325           325           -4129.55      -600.443      -4729.99      -4729.99      
326           326           -4142.96      -572.577      -4715.54      -4715.54      
327           327           -4090.17      -582.564      -4672.73      -4672.73      
328           328           -4212.25      -565.666      -4777.92      -4777.92      
329           329           -4301.73      -575.355      -4877.09      -4877.09      
330           330           -4263.75      -568.323      -4832.07      -4832.07      
331           331           -4185.92      -581.329      -4767.25      -4767.25      
332           332           -4220.11      -587.609      -4807.72      -4807.72      
333           333           -4094.47      -605.933      -4700.4       -4700.4       
334           334           -4093.45      -577.608      -4671.06      -4671.06      
335           335           -4150.3       -545.212      -4695.51      -4695.51      
336           336           -4153.08      -549.351      -4702.43      -4702.43      
337           337           -4107.35      -566.211      -4673.56      -4673.56      
338           338           -4010.54      -534.196      -4544.74      -4544.74      
339           339           -4198.27      -536.306      -4734.58      -4734.58      
340           340           -4100.82      -564.717      -4665.54      -4665.54      
341           341           -4212.67      -585.141      -4797.81      -4797.81      
342           342           -4132.57      -576.679      -4709.25      -4709.25      
343           343           -4167.76      -557.112      -4724.88      -4724.88      
344           344           -4163.38      -585.402      -4748.78      -4748.78      
345           345           -4093.52      -564.135      -4657.66      -4657.66      
346           346           -4039.89      -583.065      -4622.96      -4622.96      
347           347           -3958.19      -568.19       -4526.38      -4526.38      
348           348           -4053.89      -532.482      -4586.37      -4586.37      
349           349           -4124.49      -584.61       -4709.1       -4709.1       
350           350           -4225.52      -523.834      -4749.36      -4749.36      
351           351           -4206.91      -567.835      -4774.75      -4774.75      
352           352           -4181.88      -573.788      -4755.67      -4755.67      
353           353           -4172.95      -531.132      -4704.08      -4704.08      
354           354           -4209.85      -546.941      -4756.79      -4756.79      
355           355           -4060.51      -544.999      -4605.51      -4605.51      
356           356           -4144.9       -563.88       -4708.78      -4708.78      
357           357           -4141.7       -570.983      -4712.68      -4712.68      
358           358           -4009.71      -586.981      -4596.69      -4596.69      
359           359           -4054.68      -561.658      -4616.34      -4616.34      
360           360           -4088.4       -510.86       -4599.26      -4599.26      
361           361           -3961.94      -551.574      -4513.52      -4513.52      
362           362           -3933.49      -559.263      -4492.75      -4492.75      
363           363           -4005.91      -560.17       -4566.08      -4566.08      
364           364           -4053.73      -566.404      -4620.14      -4620.14      
365           365           -3863.88      -546.956      -4410.84      -4410.84      
366           366           -3990.04      -534.56       -4524.6       -4524.6       
367           367           -3886.62      -584.189      -4470.81      -4470.81      
368           368           -3927.92      -508.155      -4436.07      -4436.07      
369           369           -3949.13      -546.73       -4495.86      -4495.86      
370           370           -3863.79      -554.886      -4418.67      -4418.67      
371           371           -4036.73      -572.389      -4609.12      -4609.12      
372           372           -3972.94      -586.98       -4559.92      -4559.92      
373           373           -3891.85      -517.209      -4409.06      -4409.06      
374           374           -3922.38      -546.936      -4469.32      -4469.32      
375           375           -3938.82      -598.705      -4537.52      -4537.52      
376           376           -3962.62      -591.147      -4553.76      -4553.76      
377           377           -4154.25      -566.884      -4721.13      -4721.13      
378           378           -4126.21      -558.72       -4684.93      -4684.93      
379           379           -4054.33      -551.646      -4605.98      -4605.98      
380           380           -3922.13      -575.164      -4497.29      -4497.29      
381           381           -3875.52      -551.683      -4427.2       -4427.2       
382           382           -4044.56      -509.991      -4554.55      -4554.55      
383           383           -3983.92      -552.154      -4536.08      -4536.08      
384           384           -4116.69      -556.86       -4673.55      -4673.55      
385           385           -3971.1       -594.818      -4565.91      -4565.91      
386           386           -4032.75      -594.74       -4627.49      -4627.49      
387           387           -4224.88      -543.921      -4768.8       -4768.8       
388           388           -4215.53      -584.019      -4799.55      -4799.55      
389           389           -4121.32      -565.092      -4686.41      -4686.41      
390           390           -3819.1       -569.083      -4388.19      -4388.19      
391           391           -4128.9       -577.046      -4705.95      -4705.95      
392           392           -4079.07      -581.955      -4661.02      -4661.02      
393           393           -4104.77      -558.05       -4662.82      -4662.82      
394           394           -4108.67      -559.98       -4668.65      -4668.65      
395           395           -4118.95      -574.76       -4693.71      -4693.71      
396           396           -4063.22      -583.163      -4646.38      -4646.38      
397           397           -4184.28      -553.742      -4738.02      -4738.02      
398           398           -4065.9       -561.799      -4627.7       -4627.7       
399           399           -4192.5       -573.238      -4765.74      -4765.74      
400           400           -4210.96      -571.182      -4782.15      -4782.15      
