POSE, TYPE, FRAME, RADIOG
Full, Protein, 323, 26.71041365442741
Full, Complex, 323, 26.6592358786287
Full, Protein, 324, 26.44586967753575
Full, Complex, 324, 26.40093456018265
Full, Protein, 325, 26.502417545389548
Full, Complex, 325, 26.462905544387127
Full, Protein, 326, 26.089165546033673
Full, Complex, 326, 26.043065696539788
Full, Protein, 327, 26.281908132674737
Full, Complex, 327, 26.23314298929075
Full, Protein, 328, 26.308200332342803
Full, Complex, 328, 26.261198772966736
Full, Protein, 329, 26.301976594370828
Full, Complex, 329, 26.254302358016247
Full, Protein, 330, 26.22007477777229
Full, Complex, 330, 26.174895697872525
Full, Protein, 331, 25.82137409134672
Full, Complex, 331, 25.771452102388423
Full, Protein, 332, 25.902560033760867
Full, Complex, 332, 25.856332718521845
Full, Protein, 333, 25.92346333420951
Full, Complex, 333, 25.877115990994103
Full, Protein, 334, 26.209051123182817
Full, Complex, 334, 26.163444891394626
Full, Protein, 335, 26.136294809169662
Full, Complex, 335, 26.088107541622755
Full, Protein, 336, 26.088433201215764
Full, Complex, 336, 26.042172814310327
Full, Protein, 337, 26.0234890730297
Full, Complex, 337, 25.974673766067127
Full, Protein, 338, 26.22183944808161
Full, Complex, 338, 26.1733373952242
Full, Protein, 339, 25.929473151725567
Full, Complex, 339, 25.888816086902377
Full, Protein, 340, 25.966659376434144
Full, Complex, 340, 25.91590370363607
Full, Protein, 341, 25.71514919287115
Full, Complex, 341, 25.66585128407475
Full, Protein, 342, 25.608124617204098
Full, Complex, 342, 25.55838580730442
Full, Protein, 343, 25.758796804729688
Full, Complex, 343, 25.71041034530497
Full, Protein, 344, 26.01898101396734
Full, Complex, 344, 25.970093730277483
Full, Protein, 345, 25.689166543633142
Full, Complex, 345, 25.639823802504427
Full, Protein, 346, 25.709980436931854
Full, Complex, 346, 25.655906195910777
Full, Protein, 347, 25.84941665805866
Full, Complex, 347, 25.79844995375539
Full, Protein, 348, 26.421108552723304
Full, Complex, 348, 26.364072670362948
Full, Protein, 349, 26.27253710420279
Full, Complex, 349, 26.218471434696188
Full, Protein, 350, 26.29431939601346
Full, Complex, 350, 26.239372525668625
Full, Protein, 351, 26.235849910565594
Full, Complex, 351, 26.176687811678818
Full, Protein, 352, 25.989369502054526
Full, Complex, 352, 25.93749837322394
Full, Protein, 353, 25.93520644536244
Full, Complex, 353, 25.881173328593885
Full, Protein, 354, 26.103462370512354
Full, Complex, 354, 26.046393068575195
Full, Protein, 355, 26.065985446210107
Full, Complex, 355, 26.00408413218034
Full, Protein, 356, 26.19367199132167
Full, Complex, 356, 26.126624860163183
Full, Protein, 357, 26.938392444004144
Full, Complex, 357, 26.87051332740567
Full, Protein, 358, 26.853563686153525
Full, Complex, 358, 26.787705447063313
Full, Protein, 359, 26.884270659130994
Full, Complex, 359, 26.819716904806597
Full, Protein, 360, 27.182813941153626
Full, Complex, 360, 27.116886141440343
Full, Protein, 361, 26.963306303439744
Full, Complex, 361, 26.900733987815197
Full, Protein, 362, 27.303173065045637
Full, Complex, 362, 27.23826105960466
Full, Protein, 363, 27.035004372023494
Full, Complex, 363, 26.9741990266087
Full, Protein, 364, 27.458595303601037
Full, Complex, 364, 27.389326011892937
Full, Protein, 365, 27.51749361303683
Full, Complex, 365, 27.448308203640014
Full, Protein, 366, 27.08556140638203
