Frame         Time          Elec          VdW           Nonbond       Total         
278           278           -3792.15      -645.128      -4437.28      -4437.28      
279           279           -3962.48      -634.506      -4596.99      -4596.99      
280           280           -3770.32      -668.725      -4439.04      -4439.04      
281           281           -3916.36      -601.154      -4517.52      -4517.52      
282           282           -3776.87      -682.936      -4459.81      -4459.81      
283           283           -3765.53      -677.661      -4443.19      -4443.19      
284           284           -3798.55      -640.837      -4439.39      -4439.39      
285           285           -3855.06      -648.965      -4504.02      -4504.02      
286           286           -3920.26      -668.259      -4588.52      -4588.52      
287           287           -3870.83      -654.062      -4524.9       -4524.9       
288           288           -4098.46      -618.537      -4716.99      -4716.99      
289           289           -3981.24      -599.87       -4581.11      -4581.11      
290           290           -4031.12      -640.36       -4671.48      -4671.48      
291           291           -4021.48      -645.395      -4666.87      -4666.87      
292           292           -4018.47      -604.835      -4623.3       -4623.3       
293           293           -4000.73      -616.936      -4617.67      -4617.67      
294           294           -4038.55      -605.15       -4643.7       -4643.7       
295           295           -3999.01      -635.52       -4634.53      -4634.53      
296           296           -3957.24      -601.279      -4558.52      -4558.52      
297           297           -3963.61      -616.849      -4580.46      -4580.46      
298           298           -4050.74      -601.248      -4651.99      -4651.99      
299           299           -3943.8       -633.267      -4577.07      -4577.07      
300           300           -3931.12      -599.385      -4530.51      -4530.51      
301           301           -3986.32      -629.083      -4615.4       -4615.4       
302           302           -3944.12      -584.62       -4528.75      -4528.75      
303           303           -4083.83      -618.343      -4702.18      -4702.18      
304           304           -4136.44      -623.131      -4759.58      -4759.58      
305           305           -3940.09      -629.82       -4569.91      -4569.91      
306           306           -4039.05      -632.262      -4671.31      -4671.31      
307           307           -4219.21      -646.071      -4865.28      -4865.28      
308           308           -4186.12      -570.247      -4756.37      -4756.37      
309           309           -4240.8       -602.477      -4843.28      -4843.28      
310           310           -4126.49      -584.987      -4711.48      -4711.48      
311           311           -4127.28      -572.237      -4699.51      -4699.51      
312           312           -4128.96      -605.494      -4734.45      -4734.45      
313           313           -4136.56      -621.242      -4757.81      -4757.81      
314           314           -4041.2       -589.074      -4630.28      -4630.28      
315           315           -4054.12      -669.457      -4723.58      -4723.58      
316           316           -4092.18      -595.039      -4687.21      -4687.21      
317           317           -4086.45      -600.218      -4686.67      -4686.67      
318           318           -4145.5       -600.414      -4745.92      -4745.92      
319           319           -3975.74      -614.502      -4590.24      -4590.24      
320           320           -3856.52      -648.844      -4505.36      -4505.36      
321           321           -3840.39      -625.634      -4466.02      -4466.02      
322           322           -3882.89      -643.288      -4526.18      -4526.18      
323           323           -3788.4       -652.15       -4440.55      -4440.55      
324           324           -3858.73      -626.022      -4484.76      -4484.76      
325           325           -3740.78      -637.886      -4378.66      -4378.66      
326           326           -3891.76      -618.371      -4510.13      -4510.13      
327           327           -3860.42      -638.136      -4498.55      -4498.55      
328           328           -3887.22      -620.086      -4507.3       -4507.3       
329           329           -4060.5       -659.641      -4720.14      -4720.14      
330           330           -4024.76      -625.074      -4649.84      -4649.84      
331           331           -4087.1       -588.27       -4675.37      -4675.37      
332           332           -4023.28      -649.022      -4672.3       -4672.3       
333           333           -3986.85      -624.209      -4611.06      -4611.06      
334           334           -3961.27      -631.439      -4592.71      -4592.71      
335           335           -3928.14      -612.948      -4541.09      -4541.09      
336           336           -4051.74      -641.746      -4693.48      -4693.48      
