Conformation, LigandName, Frame, AD_BindingEnergy,VN_BindingEnergy, Average_Energy
namd-av01,av01,frame01947,0.15,0.0,0.075
namd-av01,av01,frame00302,0.17,0.0,0.085
namd-av01,av01,frame00296,0.19,0.0,0.095
namd-av01,av01,frame00375,0.23,0.0,0.115
namd-av01,av01,frame00278,0.8,0.0,0.4
namd-av01,av01,frame01057,0.18,0.0,0.09
namd-av01,av01,frame01020,0.19,0.0,0.095
namd-av01,av01,frame00732,0.13,0.0,0.065
namd-av01,av01,frame00745,0.11,0.0,0.055
namd-av01,av01,frame00648,0.17,0.0,0.085
namd-av01,av01,frame00076,-1.7,-2.9636,-2.332
namd-av01,av01,frame00195,0.19,0.0,0.095
namd-av01,av01,frame00001,-6.46,-7.21811,-6.839
namd-av01,av01,frame00098,0.18,0.0,0.09
namd-av01,av01,frame01713,0.16,0.0,0.08
namd-av01,av01,frame01687,0.25,0.0,0.125
namd-av01,av01,frame01764,0.2,0.0,0.1
namd-av01,av01,frame01669,0.18,0.0,0.09
namd-av01,av01,frame00988,0.17,0.0,0.085
namd-av01,av01,frame00446,0.17,0.0,0.085
namd-av01,av01,frame00431,0.2,0.0,0.1
namd-av01,av01,frame00885,0.13,0.0,0.065
namd-av01,av01,frame00911,0.13,0.0,0.065
namd-av01,av01,frame00966,0.18,0.0,0.09
namd-av01,av01,frame01323,0.23,0.0,0.115
namd-av01,av01,frame01354,0.25,0.0,0.125
namd-av01,av01,frame01259,0.21,0.0,0.105
namd-av01,av01,frame00861,0.86,0.0,0.43
namd-av01,av01,frame00816,0.19,0.0,0.095
namd-av01,av01,frame00982,0.19,0.0,0.095
namd-av01,av01,frame00536,0.15,0.0,0.075
namd-av01,av01,frame00541,0.16,0.0,0.08
namd-av01,av01,frame01329,0.24,0.0,0.12
namd-av01,av01,frame01253,0.28,0.0,0.14
namd-av01,av01,frame01224,0.16,0.0,0.08
namd-av01,av01,frame00106,0.19,0.0,0.095
namd-av01,av01,frame00092,-2.18,-3.15213,-2.666
namd-av01,av01,frame00171,0.9,0.0,0.45
namd-av01,av01,frame01719,0.15,0.0,0.075
namd-av01,av01,frame01663,0.23,0.0,0.115
namd-av01,av01,frame01780,0.15,0.0,0.075
namd-av01,av01,frame01614,0.15,0.0,0.075
namd-av01,av01,frame00259,0.16,0.0,0.08
namd-av01,av01,frame00354,0.22,0.0,0.11
namd-av01,av01,frame00323,0.15,0.0,0.075
namd-av01,av01,frame01966,0.2,0.0,0.1
namd-av01,av01,frame01885,0.19,0.0,0.095
namd-av01,av01,frame01911,0.2,0.0,0.1
namd-av01,av01,frame01431,0.23,0.0,0.115
namd-av01,av01,frame01446,0.17,0.0,0.085
namd-av01,av01,frame01988,0.18,0.0,0.09
namd-av01,av01,frame00669,0.28,0.0,0.14
namd-av01,av01,frame00764,0.19,0.0,0.095
namd-av01,av01,frame00713,0.87,0.0,0.435
namd-av01,av01,frame00687,-1.53,-1.7036,-1.617
namd-av01,av01,frame01098,0.17,0.0,0.085
namd-av01,av01,frame01195,0.19,0.0,0.095
namd-av01,av01,frame01001,0.23,0.0,0.115
namd-av01,av01,frame01076,0.19,0.0,0.095
namd-av01,av01,frame00780,0.16,0.0,0.08
namd-av01,av01,frame00614,0.19,0.0,0.095
namd-av01,av01,frame00663,0.17,0.0,0.085
namd-av01,av01,frame00719,0.19,0.0,0.095
namd-av01,av01,frame01171,0.2,0.0,0.1
namd-av01,av01,frame01106,0.17,0.0,0.085
namd-av01,av01,frame01092,0.23,0.0,0.115
namd-av01,av01,frame00224,0.2,0.0,0.1
namd-av01,av01,frame00253,0.22,0.0,0.11
namd-av01,av01,frame00329,0.14,0.0,0.07
namd-av01,av01,frame01541,0.17,0.0,0.085
namd-av01,av01,frame01536,0.21,0.0,0.105
namd-av01,av01,frame01816,0.29,0.0,0.145
namd-av01,av01,frame01982,0.23,0.0,0.115
namd-av01,av01,frame01861,0.13,0.0,0.065
namd-av01,av01,frame01391,0.17,0.0,0.085
namd-av01,av01,frame01205,0.18,0.0,0.09
namd-av01,av01,frame01272,0.23,0.0,0.115
namd-av01,av01,frame01308,0.2,0.0,0.1
namd-av01,av01,frame00560,-2.24,-1.85729,-2.049
namd-av01,av01,frame00517,0.21,0.0,0.105
namd-av01,av01,frame00483,0.17,0.0,0.085
namd-av01,av01,frame00837,0.17,0.0,0.085
namd-av01,av01,frame00840,0.18,0.0,0.09
namd-av01,av01,frame01635,0.14,0.0,0.07
namd-av01,av01,frame01642,0.11,0.0,0.055
namd-av01,av01,frame01738,0.16,0.0,0.08
namd-av01,av01,frame00150,0.86,0.0,0.43
namd-av01,av01,frame00127,0.16,0.0,0.08
namd-av01,av01,frame01648,0.19,0.0,0.095
namd-av01,av01,frame01745,0.17,0.0,0.085
namd-av01,av01,frame01732,0.17,0.0,0.085
namd-av01,av01,frame00020,-5.2,-6.45558,-5.828
namd-av01,av01,frame00057,-2.45,-3.35464,-2.902
namd-av01,av01,frame01278,0.18,0.0,0.09
namd-av01,av01,frame01375,0.23,0.0,0.115
namd-av01,av01,frame01302,0.21,0.0,0.105
namd-av01,av01,frame01296,0.2,0.0,0.1
namd-av01,av01,frame00947,0.16,0.0,0.08
namd-av01,av01,frame00489,0.17,0.0,0.085
namd-av01,av01,frame00930,0.86,0.0,0.43
namd-av01,av01,frame00584,0.19,0.0,0.095
namd-av01,av01,frame00410,0.15,0.0,0.075
namd-av01,av01,frame00467,0.2,0.0,0.1
namd-av01,av01,frame01149,0.2,0.0,0.1
namd-av01,av01,frame01044,0.18,0.0,0.09
namd-av01,av01,frame01033,0.26,0.0,0.13
namd-av01,av01,frame00721,0.19,0.0,0.095
namd-av01,av01,frame00756,0.22,0.0,0.11
namd-av01,av01,frame01923,0.17,0.0,0.085
namd-av01,av01,frame01579,0.21,0.0,0.105
namd-av01,av01,frame01954,0.2,0.0,0.1
namd-av01,av01,frame01474,0.19,0.0,0.095
namd-av01,av01,frame01597,0.2,0.0,0.1
namd-av01,av01,frame01859,0.21,0.0,0.105
namd-av01,av01,frame01403,0.23,0.0,0.115
namd-av01,av01,frame00388,0.32,0.0,0.16
namd-av01,av01,frame00311,0.23,0.0,0.115
namd-av01,av01,frame00285,0.16,0.0,0.08
namd-av01,av01,frame00366,0.78,0.0,0.39
namd-av01,av01,frame01504,0.22,0.0,0.11
namd-av01,av01,frame01490,0.16,0.0,0.08
namd-av01,av01,frame01929,0.21,0.0,0.105
namd-av01,av01,frame01573,0.14,0.0,0.07
namd-av01,av01,frame01853,0.19,0.0,0.095
namd-av01,av01,frame01409,0.22,0.0,0.11
namd-av01,av01,frame01824,0.13,0.0,0.065
namd-av01,av01,frame00261,0.19,0.0,0.095
namd-av01,av01,frame00382,0.17,0.0,0.085
namd-av01,av01,frame00216,0.22,0.0,0.11
namd-av01,av01,frame01134,0.17,0.0,0.085
namd-av01,av01,frame01143,0.18,0.0,0.09
namd-av01,av01,frame01039,0.15,0.0,0.075
namd-av01,av01,frame00651,0.2,0.0,0.1
namd-av01,av01,frame00626,0.19,0.0,0.095
namd-av01,av01,frame00115,0.9,0.0,0.45
namd-av01,av01,frame00081,-3.21,-3.60379,-3.407
namd-av01,av01,frame00162,0.18,0.0,0.09
namd-av01,av01,frame00018,-5.84,-6.04136,-5.941
namd-av01,av01,frame01670,0.22,0.0,0.11
namd-av01,av01,frame01793,0.22,0.0,0.11
namd-av01,av01,frame01607,0.2,0.0,0.1
namd-av01,av01,frame00525,0.19,0.0,0.095
